kldb_id,beruf_name,kldb_prefix2
71402,Kaufmann/-frau - Büromanagement,71
62102,Warengruppenleiter/in,62
71393,Product Owner,71
54101,Helfer/in - Reinigung,54
81302,Pflegefachmann/-frau (Gesundheits- und Krankenpflege),81
51312,Fachlagerist/in,51
51311,"Helfer/in - Lagerwirtschaft, Transport",51
43414,Fintech-Entwickler/in,43
72213,Fachassistent/in Digitalisierung und IT-Prozesse,72
61124,Digital-Sales-Manager/in,61
63301,Servicekraft - Gastronomie und Gastgewerbe,63
43153,Infotainment-Entwickler/in,43
92113,Service-Designer/in,92
82102,Pflegefachmann/-frau (Altenpflege),82
52122,Tankwagenfahrer/in,52
43224,CRM-Consultant,43
26212,Elektroniker/in - Gebäude- und Infrastruktursysteme,26
25212,Fachkraft - innovative Fahrzeugaufbereitung,25
61123,Technical-Account-Manager/in,61
24232,Fachkraft für Metalltechnik - Zerspanungstechnik,24
25102,Industriemechaniker/in,25
62101,Helfer/in - Verkauf,62
52531,Gabelstaplerfahrer/in,52
71324,Gründerscout,71
29302,Fachkraft - Küche,29
71401,Schalterauskunft,71
84304,Studiengangkoordinator/in,84
61122,Mediengestalter/in Digital und Print - Beratung und Planung,61
43343,Identity-/Access-Manager/in,43
27104,Leiter/in - Forschungsgruppe,27
26252,Starkstromelektriker/in,26
63221,Empfangsmitarbeiter/in (Hotel),63
83113,Waldorferzieher/in,83
83124,Psychosoziale/r Prozessbegleiter/in,83
62194,Verkaufsleiter/in im Lebensmittelhandwerk,62
71523,Jobcoach,71
92133,Key-Account-Manager/in,92
84223,Aus- und Weiterbildungspädagoge/-pädagogin,84
43323,IT-Service-Delivery-Manager/in,43
34212,Leckageorter/in,34
61113,IT-Einkäufer/in,61
25122,Maschinen- und Anlagenführer/in (o. Angabe des Schwerpunkts),25
43384,Cyber-Security-Consultant,43
24422,MIG-Schweißer/in,24
43394,Chief-Information-Security-Officer,43
82101,Pflegeassistent/in (Altenpflege),82
62232,Fachverkäufer/in - Geschenkartikel,62
71524,Arbeitsmarktorientierte/r Berater/in,71
51624,Betriebswirt/in (Hochschule) - Logistik,51
27212,Technische/r Systemplaner/in - Stahl- und Metallbautechnik,27
81404,Weiterbildungsassistent/in (Arzt/Ärztin),81
43102,Assistent/in - Informatik (allgemeine Informatik),43
26312,Glasfasermonteur/in,26
22342,Holzmechaniker/in-Herstellen v. Möbeln u. Innenausbauteilen,22
29301,Helfer/in - Küche,29
81102,Patientenmanager/in,81
52182,Requisitenfahrer/in,52
92122,Service-Chat-Agent/in,92
51622,Kaufmann/-frau - Spedition und Logistikdienstleistung,51
84183,Lernbetreuer/in,84
24412,Vorarbeiter/in - Metallbau,24
24202,Vorarbeiter/in - Metallbearbeitung,24
43104,Data Engineer,43
92413,Video-Journalist/in,92
27304,Product-Lifecycle-Manager/in,27
83131,Schulbegleiter/in,83
72234,Callcentercontroller/in,72
31104,Ingenieur/in - Konstruktiver Ingenieurbau,31
33212,Maler/in und Lackierer/in - Ausbautech. u. Oberflächengest.,33
72132,Kaufmann/-frau - Versicherungen und Finanzanlagen,72
73202,Beamt(er/in) - Kommunalverwaltung (mittl. Dienst),73
71514,Leiter/in - betriebliche Aus- und Weiterbildung,71
43114,Business-Intelligence-Consultant,43
71394,Chief-Product-Officer,71
71302,Industriekaufmann/-frau,71
72113,Berater/in - Immobilienfinanzierung,72
92112,Kaufmann/-frau - Marketingkommunikation,92
72302,Gehilf(e/in) - wirtschafts- und steuerberatende Berufe,72
62272,Automobil-Serviceberater/in,62
81313,Fachkrankenpfleger/in - Intermediate Care,81
43223,Cloud-Consultant,43
26113,Fachkraft - Mechatronik,26
71403,Fachwirt/in - Büro- und Projektorganisation,71
71314,Change-Manager/in,71
61112,Assistent/in - Beschaffungswesen,61
63222,Hausdamenassistent/in,63
31194,"Leiter/in - Projektentwicklung (Immobilien, Bau)",31
71512,Personalsachbearbeiter/in,71
72112,Kassierer/in (Banken),72
26112,Industrietechnologe/-technologin - Mechatronische Systeme,26
51322,Postjungbot(e/in),51
43353,Datenbankentwickler/in,43
34102,Techn. Assistent/in - Gebäudetechnik,34
26122,Elektroniker/in - Automatisierungs- und Systemtechnik,26
63302,Fachkraft - Gastronomie (Restaurantservice),63
43413,Frontend-Entwickler/in,43
81713,Chiropraktiker/in,81
27394,Leiter/in - Process Engineering,27
26304,Elektrotechniksachverständige/r,26
34201,"Helfer/in - Klempnerei, Installation",34
31114,Ingenieur/in - Architektur,31
27223,Konstruktionstechniker/in,27
62312,Fachverkäufer/in - Lebensmittelhandwerk (Konditorei),62
54112,Vorarbeiter/in - Reinigung,54
81112,Zahnmedizinische/r Fachangestellte/r,81
26243,Servicemonteur/in - Windenergieanlagentechnik,26
61194,Leiter/in - Vertriebsinnendienst,61
26303,Inbetriebnahmetechniker/in - Elektrotechnik,26
53111,Kontrollkraft gem. § 9a LuftSiG,53
73112,Rechtsanwaltsgehilfe/-gehilfin,73
62183,Kundendienstberater/in,62
72123,Fachwirt/in - Investment,72
71522,Personaldienstleistungskaufmann/-frau,71
61312,Technisch-kaufmännische/r Assistent/in - Gebäudeservice,61
34342,Anlagenmechaniker/in,34
83211,Helfer/in - Hauswirtschaft,83
27313,Fachkraft - Qualitätssicherung/-management,27
27303,Fachwirt/in - Fertigungs- und Prozessmanagement,27
81394,Pflegedirektor/in,81
84483,Nachhilfelehrer/in,84
43412,Mathematisch-technische/r Softwareentwickler/in,43
24522,Präzisionswerkzeugmechaniker/in - Zerspanwerkzeuge,24
71303,Technische/r Betriebswirt/in - Handwerk,71
62112,Kassierer/in (Handel),62
73203,Verwaltungsangestellte/r - gehobener Dienst,73
72233,Assistent/in - Controlling,72
82312,Meisterassistent/in - Kosmetik im Friseurhandwerk,82
71513,Talent-Acquisition-Manager/in,71
62322,Fachverkäufer/in - Lebensmittelhandwerk (Fleischerei),62
27393,Meister/in - Vernetzte Industrie,27
24411,Helfer/in - Metallbau,24
62262,Fachverkäufer/-berater/in - Bau-/Heimwerkerbedarf,62
26301,Helfer/in - Elektro,26
83212,Hauswirtschafter/in - Serviceorientierte Dienstleistungen,83
29222,Patissier/Patissière,29
91341,"Tester/in, Testperson",91
83112,Sozialpädagogische/r Assistent/in / Kinderpfleger/in,83
25112,Fachkraft - Demontage,25
81723,Motopäde/Motopädin,81
26302,Industrieelektriker/in - Geräte und Systeme,26
83133,Heilerziehungspfleger/in,83
73134,Fachanwalt/-anwältin - Migrationsrecht,73
61313,Betriebswirt/in (Fachschule) - Immobilien,61
26222,Elektroniker/in - Maschinen und Antriebstechnik (BBiG),26
61212,Kaufmann/-frau - Groß- und Außenhandelsmanag. (Großhandel),61
25132,Kontrolleur/in - Feuerlöscher,25
71104,Kaufmännische/r Geschäftsführer/in,71
63401,Helfer/in - Veranstaltungsservice,63
81332,Anästhesietechnische/r Assistent/in,81
81301,Pflegeassistent/in (Gesundheits- und Krankenpflege),81
51694,Leiter/in - Supply-Chain-Management,51
22102,Vorarbeiter/in - Kunststoff- und Kautschukherstellung,22
62252,Küchenplaner/in,62
73184,Jurist/in - Sozialrecht,73
25104,Maschinen- und Anlagensicherheitssachverständige/r,25
83111,Kinderbetreuer/in,83
62302,Verkäufer/in - Nahrungsmittelhandwerk,62
51321,"Helfer/in - Kurier-, Zustell- und Postdienstleistungen",51
81424,Facharzt/-ärztin - Innere Medizin und Rheumatologie,81
92203,Assistent/in - Pressestelle,92
82522,Augenoptiker/in,82
62412,Pharmazeutisch-kaufmännische/r Angestellte/r,62
29201,Helfer/in - Lebensmittelherstellung,29
84144,Seminarleiter/in - Lehrer(innen)ausbildung,84
83141,Senioren-Assistent/in,83
63112,Tourismuskaufmann/-frau (Privat- und Geschäftsreisen),63
43122,CAD-Organisator/in,43
25222,Land- und Baumaschinenmechatroniker/in,25
73222,"Verwaltungsangestellte/r - Krankenk.,Krankenhäuser, Kliniken",73
92303,Fachwirt/in - Medien/B. Prof. Media,92
51623,Fachwirt/in - Güterverkehr und Logistik,51
82194,Leiter/in - Altenpflegeeinrichtung,82
32122,Hochbaufacharbeiter/in - Maurerarbeiten,32
22301,"Helfer/in - Holz, Flechtwaren",22
26393,Industriemeister/in - Elektrotechnik,26
12142,Greenkeeper-Assistent/in,12
61213,Fachwirt/in - Außenwirtschaft,61
41312,Produktionsfachkraft Chemie,41
72304,Betriebswirt/in (Hochschule) - Steuern und Prüfungswesen,72
41322,Textillaborant/in - Textilchemie,41
84213,Praxisanleiter/in - Notfallsanitäter,84
72294,Leiter/in - Konzernrevision,72
24201,Helfer/in - Metallbearbeitung,24
52522,Baugeräteführer/in,52
62182,Reklamationssachbearbeiter/in,62
63293,Hausdame/Housekeeper,63
63394,Betriebsleiter/in - Systemgastronomie,63
22202,Lackierer/in - Tauchlackierung,22
43124,SPS-Ingenieur/in,43
23223,Virtual/Augmented Reality-Entwickler/in,23
23212,Mediengestalter/in Digital und Print - Konzept. u. Visualis.,23
81212,Medizinische/r Technologe/Technologin - Laboratoriumsanaly.,81
43333,EDV-Fachkraft,43
29232,Geflügelfleischer/in,29
12101,Friedhofsarbeiter/in,12
71384,Tender-Manager/in,71
22101,"Helfer/in - Kunststoff, Kautschuk",22
25103,Inbetriebnahmetechniker/in - Maschinenbau,25
84404,E-Learning-Coach,84
26123,Techniker/in - Produktionstechnik und Datenmanagement,26
81883,Medical Writer,81
62212,Fachverkäufer/in - Lederwaren,62
53112,Geprüfte Schutz- und Sicherheitskraft (IHK),53
43112,Fachinformatiker/in - Daten- und Prozessanalyse,43
43123,IoT-Entwickler/in,43
81232,Medizinische/r Technologe/Technologin - Radiologie,81
27312,"Güte-, Materialprüfer/in/Qualitätsfachmann/-frau",27
26233,Inbetriebnahmetechniker/in - Energietechnik,26
22212,Fahrzeuglackierer/in,22
63322,Barista,63
29393,Küchenchef/in,29
81624,Sozialpsychologe/-psychologin,81
52132,Fachkraft - Fahrbetrieb,52
82322,Fußpfleger/in (kosmetisch),82
27314,Qualitätsingenieur/in,27
81822,Apothekerassistent/in,81
32142,Dachdecker/in - Energietechnik an Dach und Wand,32
34322,Verteilnetztechniker/in,34
82593,Industriemeister/in - Medizintechnik,82
25201,Helfer/in - Fahrzeugbau und -instandhaltung,25
61283,E-Commerce-Manager/in,61
52112,Fahrer/in - Personenbeförderung,52
34103,Fachplaner/in - Energie- und Gebäudetechnik,34
72144,Rating-Analyst/in,72
23101,"Helfer/in - Papier, Verpackung",23
71594,Leiter/in - Personalentwicklung,71
24222,Feinpolierer/in,24
26124,"Ingenieur/in - Robotik, Autonome Systeme",26
63312,Fachkraft - Gastronomie (Systemgastronomie),63
83223,Verbraucherberater/in,83
63212,Kaufmann/-frau - Hotelmanagement,63
71304,"Betriebswirt/in (Hochschule) - Unternehmensführung, Managem.",71
84553,Tai-Chi-Chuan- und Qigong-Lehrer/in,84
72212,Kfm. Ass./Wirtschaftsassistent/in - DV/Rechnungswesen,72
82532,Hörakustiker/in,82
63403,Digital-Event-Manager/in,63
34232,Mechatroniker/in - Kältetechnik,34
83142,Fachkraft - Pflegeassistenz,83
72124,Betriebswirt/in (Hochschule) - Bank und Finanzdienstl.,72
24233,Techniker/in - Zerspanungstechnik,24
94512,Fachkraft - Veranstaltungstechnik,94
23122,Packmitteltechnologe/-technologin,23
33211,"Helfer/in - Malerei, Lackiererei",33
33112,Mosaikleger/in,33
81342,Notfallsanitäter/in,81
25293,Betriebsmanager/in - Kraftfahrzeugtechnik,25
92194,Leiter/in - Key Account Management,92
43423,Game Programmer,43
43312,Fachinformatiker/in - Digitale Vernetzung,43
51632,Disponent/in - Güterverkehr,51
72303,Assistent/in - Steuerberatung,72
81884,Medical Advisor,81
25133,Instandhaltungstechniker/in,25
82542,Zahntechnische Hilfskraft,82
73104,Jurist/in,73
31173,Bau- und Projektkaufmann/-frau,31
81464,Facharzt/-ärztin - Psychosom. Medizin u. Psychotherapie,81
61294,Gebietsleiter/in - Außenwirtschaft,61
81733,"Atem-, Sprech- und Stimmlehrer/in",81
63303,Chef de rang,63
72122,Finanzassistent/in,72
54193,Objektleiter/in (Gebäudereinigung),54
24512,Chirurgiemechaniker/in,24
34293,Ofen- und Luftheizungsbauermeister/in,34
22112,Vulkaniseur/in,22
22322,Sägewerker/in,22
63383,Sommelier/Sommelière,63
25214,Ingenieur/in - Fahrzeugtechnik,25
41212,Milchwirtschaftliche/r Laborant/in,41
73332,Assistent/in - Technische Kommunikation,73
61323,Fachwirt/in - Facility-Management,61
34214,Ingenieur/in - Klimasystemtechnik,34
92383,Medienberater/in - Audiovisuelle Medien,92
92114,Brand-Manager/in,92
26102,Roboterprogrammierer/in,26
52202,Eisenbahner/in - Betriebsdienst - Lokführer/in und Transport,52
24511,"Helfer/in - Feinmechanik, Werkzeugbau",24
23412,Medientechnologe/-technologin Siebdruck,23
34213,"Techniker/in - Heizungs-, Lüftungs-, Klimatechnik",34
81804,Fachapotheker/in,81
33301,Helfer/in - Ausbau,33
73223,Krankenhausmanager/in,73
72134,Betriebswirt/in (Hochschule) - Versicherung,72
61282,Kaufmann/-frau - E-Commerce,61
81323,Fachkinderkrankenpfleger/in - Intermediate Care,81
23222,Designer/in (Ausbildung) - Kommunikationsdesign,23
62242,Fotomedienfachmann/-frau,62
43232,Kaufmann/-frau - IT-System-Management,43
32112,Hochbaufacharbeiter/in - Beton- und Stahlbetonarbeiten,32
72223,Kostenrechner/in,72
43383,Informationssicherheitsbeauftragte/r,43
32222,Tiefbaufacharbeiter/in - Straßenbauarbeiten,32
43313,Techniker/in - Informatik (Netzwerktechnologie),43
43113,IT-Lizenzmanager/in,43
33342,Fahrzeugglaser/in,33
32202,Spezialtiefbauer/in,32
33322,"Bootsbauer/in - Neu-, Aus- und Umbau",33
81434,Facharzt/-ärztin - Neurochirurgie,81
53123,Sicherheits- und Gesundheitsschutz-Koordinator/in,53
62122,Verkaufsfahrer/in,62
24302,Universalhärter/in,24
91384,Interkulturelle/r Kommunikationsberater/in,91
23411,Helfer/in - Druck,23
81393,Stationsleiter/in - Kranken-/Alten-/Kinderkrankenpflege,81
53183,Schließ- und Sicherungstechniker/in,53
33302,Vorarbeiter/in - Aus- und Trockenbau,33
81634,Psychotherapeut/in,81
32104,Hochbauingenieur/in,32
21222,Betonmischmaschinenführer/in,21
29202,Maschinen- und Anlagenführer/in - Lebensmitteltechnik,29
63382,Büfettkraft,63
62103,Fachwirt/in - Vertrieb im Einzelhandel,62
41311,Helfer/in - Chemie- und Pharmatechnik,41
53124,CE-Beauftragte/r,53
25252,E-Bike-Servicetechniker/in,25
12202,Florist/in,12
51662,Dienstleistungsfachkraft - Postbetrieb,51
51532,Flugdatenbearbeiter/in,51
33332,Ausstellungstischler/in,33
84503,Übungsleiter/in - Prävention/Rehabilitation,84
72214,Betriebswirt/in (Hochschule) - Rechnungswesen u. Controlling,72
33102,Vorarbeiter/in - Bodenverlegung,33
81484,Prüfarzt/-ärztin,81
71383,Fremdfirmenkoordinator/in,71
81474,Zahnarzt/-ärztin,81
25194,Leiter/in - Betriebliche Instandhaltung,25
81353,Hebamme/Entbindungspfleger,81
73342,Klinische Kodierfachkraft,73
73212,Fachangestellte/r für Arbeitsmarktdienstleistungen,73
62301,Kiosk-/Imbissverkäufer/in,62
83193,Fachwirt/in - Erziehungswesen,83
27103,3-D-Druck-Spezialist/in,27
54152,Flugzeugreiniger/in,54
41294,Laborleiter/in,41
71214,Abgeordnete/r,71
51412,Kaufmann/-frau - Verkehrsservice,51
34301,Helfer/in - Ver- und Entsorgung,34
29382,Foodstylist/in,29
92302,Medienkaufmann/-frau Digital und Print,92
83123,Ehrenamtskoordinator/in,83
51504,Manager/in - Nachhaltige Mobilität,51
31124,Stadt- und Regionalplaner/in,31
34312,"Fachkraft - Rohr-, Kanal-u. Industrieserv. (Rohr/Kanals.)",34
81113,Kieferorthopädische/r Fachhelfer/in,81
81214,Facharzt/-ärztin - Anatomie,81
72194,Leiter/in - Markt (Banken),72
26332,Kraftfahrzeugmechatroniker/in - Fahrzeugkommunikationstechn.,26
52532,Anschläger/in,52
53142,Rettungsschwimmer/in,53
83154,EUTB-Berater/in,83
93222,Gestalter/in für visuelles Marketing,93
81712,Masseur/in und medizinische/r Bademeister/in,81
32101,Helfer/in - Hochbau,32
25101,"Helfer/in - Maschinenbau, Betriebstechnik",25
62282,Tankwart/in,62
61314,Betriebswirt/in (Hochschule) - Immobilien,61
83134,Rehabilitationspädagoge/-pädagogin,83
91334,Museumspädagoge/-pädagogin,91
25213,Inbetriebnahmetechniker/in - Fahrzeugtechnik,25
28221,Helfer/in - Textilverarbeitung,28
72182,Beamt(er/in) - Bundesbank (mittl. Dienst),72
43214,IT-Produktkoordinator/in,43
33393,Werkpolier/in - Ausbau,33
73183,Geldwäschebeauftragte/r,73
23294,Art-Director,23
81454,Algesiologe/Algesiologin,81
32193,Gerüstbauermeister/in,32
61203,Betriebswirt/in (Fachschule) - Handel,61
81222,Medizinische/r Technologe/Technologin - Funktionsdiagnostik,81
82222,Saunameister/in,82
73312,Fachangestellte/r für Medien- u. Info.Dienste - Bildagentur,73
22332,Holzmechaniker/in - Leisten- und Rahmenindustrie,22
32252,Tiefbaufacharbeiter/in - Kanalbauarbeiten,32
84444,IT-Trainer/in,84
25134,Serviceingenieur/in,25
25232,Metallflugzeugbauer/in,25
23224,Interfacedesigner/in,23
81444,Facharzt/-ärztin - Phoniatrie und Pädaudiologie,81
32162,Industriekletterer/-kletterin,32
32201,Helfer/in - Tiefbau,32
41204,Biowissenschaftler/in,41
27224,Konstruktionsingenieur/in,27
72244,Revisor/in,72
94232,Mannequin/Dressman,94
31214,Vermessungsingenieur/in,31
34343,Techniker/in - Maschinentechnik (Anlagentechnik),34
92412,Redaktionsvolontär/in,92
82213,Pflegeberater/in,82
73204,Verwaltungswissenschaftler/in,73
31103,Beamt(er/in) - Gehobener bautechnischer Dienst,31
92304,Game Producer,92
51522,Eisenbahner/in - Zugverkehrssteuerung,51
32224,Straßenbauingenieur/in,32
51222,Sicherungsposten,51
84583,Schwimmlehrer/in,84
26313,Beamt(er/in) - Fernmelde- u. Elektron. Aufklärung (geh.t.D.),26
82183,Fachaltenpfleger/in - Palliativ- und Hospizpflege,82
1402,Freiwil. Wehrdienstleistende/r - Laufbahngruppe Mannschaften,14
